MissionDay,Case,EccentricityVectorX,EccentricityVectorY,Eccentricity,ArgumentOfPerigee_deg,ObservedMinAltitude_km,ObservedMaxAltitude_km,ObservedVariation_km,MaxDeviationFromNominal_km,WithinMaintenanceHalfBand
20,1,-2.36063034390694e-15,0.0010544301343808,0.0010544301343808,90.0000000001283,630.47777634132,630.747440881521,0.269664540201461,0.74744088152147,1
21,1,-2.41948756947402e-15,0.00105443013438094,0.00105443013438094,90.0000000001315,630.477776341318,630.747440881521,0.26966454020328,0.74744088152147,1
22,1,-2.47059127529996e-15,0.00105443013438108,0.00105443013438108,90.0000000001343,630.477776341318,630.747440881521,0.26966454020328,0.74744088152147,1
23,1,-2.51377769381803e-15,0.00105443013438122,0.00105443013438122,90.0000000001366,630.477776341316,630.747440881521,0.269664540205213,0.74744088152147,1
24,1,-2.54890842929818e-15,0.00105443013438136,0.00105443013438136,90.0000000001385,630.477776341316,630.747440881521,0.269664540205213,0.74744088152147,1
25,1,-2.57587090135169e-15,0.00105443013438151,0.00105443013438151,90.00000000014,630.477776341315,630.747440881521,0.269664540206122,0.74744088152147,1
26,1,-2.59457870570769e-15,0.00105443013438165,0.00105443013438165,90.000000000141,630.477776341315,630.747440881521,0.269664540206122,0.74744088152147,1
27,1,-2.60497189110533e-15,0.0010544301343818,0.0010544301343818,90.0000000001416,630.477776341315,630.747440881521,0.269664540206122,0.74744088152147,1
28,1,-2.60701715141435e-15,0.00105443013438195,0.00105443013438195,90.0000000001417,630.477776341314,630.74744088152,0.269664540206008,0.747440881519537,1
29,1,-2.60070793236831e-15,0.00105443013438209,0.00105443013438209,90.0000000001413,630.477776341314,630.74744088152,0.269664540206008,0.747440881519537,1
30,1,-2.58606445256847e-15,0.00105443013438224,0.00105443013438224,90.0000000001405,630.477776341314,630.74744088152,0.269664540206008,0.747440881519537,1
31,1,-2.56313363869102e-15,0.00105443013438239,0.00105443013438239,90.0000000001393,630.477776341314,630.747440881519,0.269664540205099,0.747440881518628,1
32,1,-2.53198897510525e-15,0.00105443013438253,0.00105443013438253,90.0000000001376,630.477776341314,630.747440881519,0.269664540205099,0.747440881518628,1
33,1,-2.49273026838468e-15,0.00105443013438267,0.00105443013438267,90.0000000001355,630.477776341314,630.747440881517,0.26966454020328,0.747440881516809,1
34,1,-2.44548332746563e-15,0.00105443013438281,0.00105443013438281,90.0000000001329,630.477776341312,630.747440881517,0.269664540205213,0.747440881516809,1
35,1,-2.39039956047837e-15,0.00105443013438295,0.00105443013438295,90.0000000001299,630.477776341312,630.747440881515,0.26966454020328,0.747440881514876,1
36,1,-2.32765548954278e-15,0.00105443013438308,0.00105443013438308,90.0000000001265,630.477776341312,630.747440881515,0.26966454020328,0.747440881514876,1
37,1,-2.25745218508333e-15,0.00105443013438321,0.00105443013438321,90.0000000001227,630.477776341314,630.747440881514,0.269664540200438,0.747440881513967,1
38,1,-2.18001462147639e-15,0.00105443013438334,0.00105443013438334,90.0000000001185,630.477776341314,630.747440881514,0.269664540200438,0.747440881513967,1
39,1,-2.09559095609448e-15,0.00105443013438346,0.00105443013438346,90.0000000001139,630.477776341314,630.747440881512,0.269664540198619,0.747440881512148,1
40,1,-2.00445173405816e-15,0.00105443013438358,0.00105443013438358,90.0000000001089,630.477776341314,630.747440881512,0.269664540198619,0.747440881512148,1
41,1,-1.90688902124376e-15,0.00105443013438369,0.00105443013438369,90.0000000001036,630.477776341314,630.74744088151,0.269664540196686,0.747440881510215,1
42,1,-1.80321546832548e-15,0.00105443013438379,0.00105443013438379,90.000000000098,630.477776341314,630.747440881509,0.269664540195777,0.747440881509306,1
43,1,-1.69376330885116e-15,0.00105443013438389,0.00105443013438389,90.000000000092,630.477776341315,630.747440881509,0.269664540193958,0.747440881509306,1
44,1,-1.57888329456259e-15,0.00105443013438398,0.00105443013438398,90.0000000000858,630.477776341315,630.747440881507,0.269664540192139,0.747440881507487,1
